scenario,batch_size,use_cycle_time,batch_completion_time_mean,batch_completion_time_std,batch_completion_time_min,batch_completion_time_max,avg_cycle_time_mean,avg_cycle_time_std,avg_wip_mean,avg_wip_std,station_1_utilization_mean,station_1_utilization_std,station_2_utilization_mean,station_2_utilization_std,station_3_utilization_mean,station_3_utilization_std,station_4_utilization_mean,station_4_utilization_std,station_5_utilization_mean,station_5_utilization_std
Сценарий 1: Буферы отсутствуют,75,True,7120.76,1.040672859260343,7120.0,7121.900000000001,96.0,0.018155444381824714,0.1762058936819518,0.0007349783967715298,0.02227851806526234,0.00011621147613890549,0.04415258596249482,0.0001934794449734131,0.054685169743082365,0.00019317972918776535,0.02227851806526234,0.00011621147613890549,0.032811101845849844,0.00011590783751269865
Сценарий 1: Буферы отсутствуют,100,True,8332.38,0.8497058314490455,8332.0,8333.899999999998,84.0,0.013570736204583825,0.19849790357318695,0.0006744758281081291,0.02502526211318956,0.0001065518118833961,0.04970968555991284,0.0001775153028333489,0.06171105861680902,0.00017741570761788418,0.02502526211318956,0.0001065518118833961,0.03702663517008574,0.00010644942457083629
Сценарий 2: Буфер 1 самолет,75,True,7120.76,1.040672859260343,7120.0,7121.900000000001,96.0,0.018155444381824714,0.1762058936819518,0.0007349783967715298,0.02227851806526234,0.00011621147613890549,0.04415258596249482,0.0001934794449734131,0.054685169743082365,0.00019317972918776535,0.02227851806526234,0.00011621147613890549,0.032811101845849844,0.00011590783751269865
Сценарий 2: Буфер 1 самолет,100,True,8332.38,0.8497058314490455,8332.0,8333.899999999998,84.0,0.013570736204583825,0.19849790357318695,0.0006744758281081291,0.02502526211318956,0.0001065518118833961,0.04970968555991284,0.0001775153028333489,0.06171105861680902,0.00017741570761788418,0.02502526211318956,0.0001065518118833961,0.03702663517008574,0.00010644942457083629
Сценарий 3: Неограниченный буфер,75,True,7120.76,1.040672859260343,7120.0,7121.900000000001,96.0,0.018155444381824714,0.1762058936819518,0.0007349783967715298,0.02227851806526234,0.00011621147613890549,0.04415258596249482,0.0001934794449734131,0.054685169743082365,0.00019317972918776535,0.02227851806526234,0.00011621147613890549,0.032811101845849844,0.00011590783751269865
Сценарий 3: Неограниченный буфер,100,True,8332.38,0.8497058314490455,8332.0,8333.899999999998,84.0,0.013570736204583825,0.19849790357318695,0.0006744758281081291,0.02502526211318956,0.0001065518118833961,0.04970968555991284,0.0001775153028333489,0.06171105861680902,0.00017741570761788418,0.02502526211318956,0.0001065518118833961,0.03702663517008574,0.00010644942457083629
"Сценарий 4: Capacity 2, буферы отсутствуют",75,True,7120.76,1.040672859260343,7120.0,7121.900000000001,96.0,0.018155444381824714,0.1762058936819518,0.0007349783967715298,0.01113925903263116,5.810573806945222e-05,0.02207629298124738,9.673972248671584e-05,0.02734258487154116,9.658986459387327e-05,0.01113925903263116,5.810573806945222e-05,0.01640555092292488,5.7953918756356536e-05
"Сценарий 4: Capacity 2, буферы отсутствуют",100,True,8332.38,0.8497058314490455,8332.0,8333.899999999998,84.0,0.013570736204583825,0.19849790357318695,0.0006744758281081291,0.012512631056594758,5.327590594167654e-05,0.024854842779956383,8.875765141666797e-05,0.030855529308404482,8.870785380893581e-05,0.012512631056594758,5.327590594167654e-05,0.018513317585042842,5.3224712285403643e-05
Сценарий 5: Гибкая рабочая сила,75,True,7120.76,1.040672859260343,7120.0,7121.900000000001,96.0,0.018155444381824714,0.1762058936819518,0.0007349783967715298,0.02227851806526234,0.00011621147613890549,0.04415258596249482,0.0001934794449734131,0.054685169743082365,0.00019317972918776535,0.02227851806526234,0.00011621147613890549,0.032811101845849844,0.00011590783751269865
Сценарий 5: Гибкая рабочая сила,100,True,8332.38,0.8497058314490455,8332.0,8333.899999999998,84.0,0.013570736204583825,0.19849790357318695,0.0006744758281081291,0.02502526211318956,0.0001065518118833961,0.04970968555991284,0.0001775153028333489,0.06171105861680902,0.00017741570761788418,0.02502526211318956,0.0001065518118833961,0.03702663517008574,0.00010644942457083629
